mentioned_players,Competition,Team,negative,neutral,positive,total_mentions,sentiment_score
rahul,syed_mushtaq_ali_trophy,sikkim,17,39,37,93,0.21505376344086022
raj,col_c_k_nayudu,bihar,29,89,68,186,0.20967741935483872
raj,col_c_k_nayudu,saurashtra,29,89,68,186,0.20967741935483872
som,syed_mushtaq_ali_trophy,sikkim,195,468,412,1075,0.20186046511627906
som,ranji_trophy,sikkim,195,468,412,1075,0.20186046511627906
siddharth,col_c_k_nayudu,sikkim,0,4,1,5,0.2
om,col_c_k_nayudu,odisha,627,1776,1370,3773,0.1969255234561357
jitesh,col_c_k_nayudu,haryana,4,29,13,46,0.1956521739130435
dol,ranji_trophy,arunachal pradesh,3,19,9,31,0.1935483870967742
dol,syed_mushtaq_ali_trophy,arunachal pradesh,3,19,9,31,0.1935483870967742
dhruv,ranji_trophy,delhi,3,15,8,26,0.19230769230769232
dhruv,syed_mushtaq_ali_trophy,delhi,3,15,8,26,0.19230769230769232
r sharma,syed_mushtaq_ali_trophy,railways,1,15,5,21,0.19047619047619047
r sharma,ranji_trophy,railways,1,15,5,21,0.19047619047619047
mohit sharma,syed_mushtaq_ali_trophy,haryana,2,9,5,16,0.1875
mohit sharma,ranji_trophy,haryana,2,9,5,16,0.1875
surya,syed_mushtaq_ali_trophy,mumbai,4,36,14,54,0.18518518518518517
surya,ranji_trophy,mumbai,4,36,14,54,0.18518518518518517
vijay shankar,ranji_trophy,tamil nadu,3,8,6,17,0.17647058823529413
prithvi,col_c_k_nayudu,hyderabad,1,12,4,17,0.17647058823529413
vijay shankar,syed_mushtaq_ali_trophy,tamil nadu,3,8,6,17,0.17647058823529413
prithvi,ranji_trophy,hyderabad,1,12,4,17,0.17647058823529413
prithvi,syed_mushtaq_ali_trophy,hyderabad,1,12,4,17,0.17647058823529413
romario,col_c_k_nayudu,manipur,0,14,3,17,0.17647058823529413
jay,col_c_k_nayudu,goa,24,112,58,194,0.17525773195876287
aniket,col_c_k_nayudu,uttar pradesh,4,16,9,29,0.1724137931034483
aniket,col_c_k_nayudu,himachal pradesh,4,16,9,29,0.1724137931034483
deep,col_c_k_nayudu,baroda,37,115,75,227,0.16740088105726872
moji,ranji_trophy,arunachal pradesh,0,5,1,6,0.16666666666666666
prithvi shaw,syed_mushtaq_ali_trophy,mumbai,1,8,3,12,0.16666666666666666
devdutt padikkal,syed_mushtaq_ali_trophy,karnataka,0,5,1,6,0.16666666666666666
moji,syed_mushtaq_ali_trophy,arunachal pradesh,0,5,1,6,0.16666666666666666
m ashwin,syed_mushtaq_ali_trophy,j  k,0,5,1,6,0.16666666666666666
m ashwin,ranji_trophy,j  k,0,5,1,6,0.16666666666666666
prithvi shaw,ranji_trophy,mumbai,1,8,3,12,0.16666666666666666
anshul,syed_mushtaq_ali_trophy,uttarakhand,0,5,1,6,0.16666666666666666
